
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    192.168.0.19:50792     209.20.75.76:80        CLOSE_WAIT
  TCP    192.168.0.19:50839     162.250.2.27:5938      ESTABLISHED
  TCP    192.168.0.19:51792     192.30.252.90:443      ESTABLISHED
  TCP    192.168.0.19:53471     208.65.155.24:443      ESTABLISHED
  TCP    192.168.0.19:53522     31.13.73.1:443         ESTABLISHED
  TCP    192.168.0.19:53534     52.21.27.101:443       ESTABLISHED
  TCP    192.168.0.19:53765     50.17.223.107:443      ESTABLISHED
  TCP    192.168.0.19:53912     208.65.155.54:443      ESTABLISHED
  TCP    192.168.0.19:53920     208.65.155.25:443      ESTABLISHED
  TCP    192.168.0.19:53925     91.190.217.43:12350    ESTABLISHED
  TCP    192.168.0.19:53946     208.65.155.25:443      ESTABLISHED
  TCP    192.168.0.19:53963     216.58.192.110:443     ESTABLISHED
  TCP    192.168.0.19:53973     208.65.155.23:443      ESTABLISHED
  TCP    192.168.0.19:53977     208.65.155.21:443      ESTABLISHED
  TCP    192.168.0.19:53982     208.65.155.21:443      ESTABLISHED
  TCP    192.168.0.19:54023     181.49.20.217:80       ESTABLISHED
  TCP    192.168.0.19:54029     23.235.39.129:80       TIME_WAIT
  TCP    192.168.0.19:54041     64.74.220.36:443       TIME_WAIT
  TCP    192.168.0.19:54042     64.74.220.36:443       TIME_WAIT
  TCP    192.168.0.19:54118     216.58.192.106:80      ESTABLISHED
  TCP    192.168.0.19:54119     74.125.21.95:80        ESTABLISHED
  TCP    192.168.0.19:54123     192.132.33.27:80       ESTABLISHED
  TCP    192.168.0.19:54124     192.132.33.27:80       ESTABLISHED
  TCP    192.168.0.19:54129     104.73.101.26:443      ESTABLISHED
  TCP    192.168.0.19:54132     192.132.33.31:80       ESTABLISHED
  TCP    192.168.0.19:54133     216.58.192.97:443      ESTABLISHED
  TCP    192.168.0.19:54135     192.132.33.31:80       ESTABLISHED
  TCP    192.168.0.19:54136     216.58.219.77:443      ESTABLISHED
  TCP    192.168.0.19:54140     23.67.194.26:80        ESTABLISHED
  TCP    192.168.0.19:54141     23.67.194.26:80        ESTABLISHED
  TCP    192.168.0.19:54142     23.67.194.26:80        ESTABLISHED
  TCP    192.168.0.19:54143     23.67.194.26:80        ESTABLISHED
  TCP    192.168.0.19:54144     23.67.194.26:80        ESTABLISHED
  TCP    192.168.0.19:54145     23.67.194.26:80        ESTABLISHED
  TCP    192.168.0.19:54152     104.244.42.8:443       ESTABLISHED
  TCP    192.168.0.19:54165     54.231.96.72:80        ESTABLISHED
  TCP    192.168.0.19:54177     216.58.219.98:80       ESTABLISHED
  TCP    192.168.0.19:54178     216.58.219.138:443     ESTABLISHED
  TCP    192.168.0.19:54192     208.65.155.55:443      ESTABLISHED
  TCP    192.168.0.19:54195     216.58.192.106:443     ESTABLISHED
  TCP    192.168.0.19:54197     216.58.192.106:443     ESTABLISHED
  TCP    192.168.0.19:54207     208.65.155.55:443      ESTABLISHED
  TCP    192.168.0.19:54208     208.65.155.55:443      ESTABLISHED
  TCP    192.168.0.19:54210     54.148.214.149:443     TIME_WAIT
  TCP    192.168.0.19:54217     141.101.112.186:443    TIME_WAIT
  TCP    192.168.0.19:54218     74.125.21.95:443       ESTABLISHED
  TCP    192.168.0.19:54222     107.21.117.170:80      TIME_WAIT
  TCP    192.168.0.19:54233     129.79.78.105:443      TIME_WAIT
  TCP    192.168.0.19:54245     107.21.117.170:80      TIME_WAIT
  TCP    192.168.0.19:54251     31.13.73.36:443        ESTABLISHED
  TCP    192.168.0.19:54253     192.168.0.12:8888      SYN_SENT
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.56.1:7676      0.0.0.0:0              LISTENING
  TCP    192.168.56.1:7679      0.0.0.0:0              LISTENING
  TCP    [::]:80                [::]:0                 LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:443               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:554               [::]:0                 LISTENING
  TCP    [::]:2869              [::]:0                 LISTENING
  TCP    [::]:3306              [::]:0                 LISTENING
  TCP    [::]:10243             [::]:0                 LISTENING
  TCP    [::]:28006             [::]:0                 LISTENING
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
  TCP    [::]:49154             [::]:0                 LISTENING
  TCP    [::]:49155             [::]:0                 LISTENING
  TCP    [::]:49156             [::]:0                 LISTENING
  TCP    [::]:49206             [::]:0                 LISTENING
  TCP    [::1]:49521            [::]:0                 LISTENING
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:443            *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:2968           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5004           *:*                    
  UDP    0.0.0.0:5005           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:7900           *:*                    
  UDP    0.0.0.0:7900           *:*                    
  UDP    0.0.0.0:7900           *:*                    
  UDP    0.0.0.0:7900           *:*                    
  UDP    0.0.0.0:51430          *:*                    
  UDP    0.0.0.0:52681          *:*                    
  UDP    0.0.0.0:54498          *:*                    
  UDP    0.0.0.0:55546          *:*                    
  UDP    0.0.0.0:60151          *:*                    
  UDP    0.0.0.0:61772          *:*                    
  UDP    0.0.0.0:63154          *:*                    
  UDP    0.0.0.0:65075          *:*                    
  UDP    25.17.36.165:137       *:*                    
  UDP    25.17.36.165:138       *:*                    
  UDP    25.17.36.165:1900      *:*                    
  UDP    25.17.36.165:5353      *:*                    
  UDP    25.17.36.165:24234     *:*                    
  UDP    25.17.36.165:65047     *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:24234        *:*                    
  UDP    127.0.0.1:44301        *:*                    
  UDP    127.0.0.1:48200        *:*                    
  UDP    127.0.0.1:48201        *:*                    
  UDP    127.0.0.1:53541        *:*                    
  UDP    127.0.0.1:54106        *:*                    
  UDP    127.0.0.1:54107        *:*                    
  UDP    127.0.0.1:60609        *:*                    
  UDP    127.0.0.1:62373        *:*                    
  UDP    127.0.0.1:62375        *:*                    
  UDP    127.0.0.1:62376        *:*                    
  UDP    127.0.0.1:62377        *:*                    
  UDP    127.0.0.1:65000        *:*                    
  UDP    127.0.0.1:65048        *:*                    
  UDP    127.0.0.1:65049        *:*                    
  UDP    127.0.0.1:65051        *:*                    
  UDP    127.0.0.1:65052        *:*                    
  UDP    127.0.0.1:65053        *:*                    
  UDP    127.0.0.1:65054        *:*                    
  UDP    127.0.0.1:65055        *:*                    
  UDP    192.168.0.19:137       *:*                    
  UDP    192.168.0.19:138       *:*                    
  UDP    192.168.0.19:1900      *:*                    
  UDP    192.168.0.19:5353      *:*                    
  UDP    192.168.0.19:24234     *:*                    
  UDP    192.168.0.19:65046     *:*                    
  UDP    192.168.56.1:137       *:*                    
  UDP    192.168.56.1:138       *:*                    
  UDP    192.168.56.1:1900      *:*                    
  UDP    192.168.56.1:5353      *:*                    
  UDP    192.168.56.1:24234     *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5004              *:*                    
  UDP    [::]:5005              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:63155             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:65045            *:*                    
  UDP    [fe80::21d9:4703:698f:c2d2%18]:1900  *:*                    
  UDP    [fe80::21d9:4703:698f:c2d2%18]:65044  *:*                    
  UDP    [fe80::a50a:1eea:f4c5:98d6%23]:1900  *:*                    
  UDP    [fe80::f973:568f:8555:6047%11]:1900  *:*                    
  UDP    [fe80::f973:568f:8555:6047%11]:65043  *:*                    
